Day_Night,Result,Home,Bat,Toss,Opposition,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
D,lost,0,2,won,v England,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult
D,lost,0,1,won,v Bangladesh,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult
DN,won,0,2,lost,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,AF Milne,TG Southee,TA Boult
DN,lost,0,1,won,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,AF Milne,TG Southee,TA Boult
DN,lost,0,2,won,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,AF Milne,TA Boult
D,won,1,2,won,v West Indies,GH Worker,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,TD Astle,DAJ Bracewell,TG Southee,LH Ferguson,TA Boult
D,won,1,1,lost,v West Indies,GH Worker,C Munro,NT Broom,LRPL Taylor,TWM Latham,HM Nicholls,TD Astle,DAJ Bracewell,MJ Henry,LH Ferguson,TA Boult
D,won,1,1,won,v West Indies,GH Worker,C Munro,NT Broom,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,TD Astle,MJ Henry,LH Ferguson,TA Boult
D,won,1,1,lost,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,TG Southee,TD Astle,LH Ferguson,TA Boult
D,won,1,2,lost,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,TD Astle,TG Southee,LH Ferguson,TA Boult
D,won,1,1,won,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,TD Astle,TG Southee,LH Ferguson,TA Boult
DN,won,1,2,lost,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,LH Ferguson,TA Boult
D,won,1,1,won,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,C de Grandhomme,HM Nicholls,TWM Latham,MJ Santner,TG Southee,MJ Henry,LH Ferguson
DN,won,1,2,won,v England,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,IS Sodhi,TA Boult
DN,lost,1,1,lost,v England,MJ Guptill,C Munro,MS Chapman,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,LH Ferguson,TA Boult
DN,lost,1,2,won,v England,MJ Guptill,C Munro,KS Williamson,MS Chapman,TWM Latham,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,IS Sodhi,TA Boult
D,won,1,2,won,v England,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,C de Grandhomme,HM Nicholls,MJ Santner,TG Southee,IS Sodhi,TA Boult
D,lost,1,1,lost,v England,MJ Guptill,C Munro,KS Williamson,TWM Latham,MS Chapman,HM Nicholls,C de Grandhomme,MJ Santner,TG Southee,IS Sodhi,TA Boult
DN,won,0,1,won,v Pakistan,GH Worker,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,TG Southee,IS Sodhi,LH Ferguson,TA Boult
DN,lost,0,1,won,v Pakistan,GH Worker,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,TG Southee,IS Sodhi,TA Boult,LH Ferguson
DN,won,1,1,won,v Sri Lanka,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,HM Nicholls,TL Seifert,JDS Neesham,MJ Henry,IS Sodhi,LH Ferguson,TA Boult
DN,won,1,1,won,v Sri Lanka,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,HM Nicholls,JDS Neesham,TL Seifert,TG Southee,MJ Henry,IS Sodhi,TA Boult
D,won,1,1,lost,v Sri Lanka,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,HM Nicholls,JDS Neesham,TL Seifert,TG Southee,MJ Henry,IS Sodhi,LH Ferguson
DN,lost,1,1,won,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,DAJ Bracewell,TG Southee,LH Ferguson,TA Boult
DN,lost,1,2,lost,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,C de Grandhomme,DAJ Bracewell,IS Sodhi,LH Ferguson,TA Boult
DN,lost,1,1,won,v India,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,HM Nicholls,MJ Santner,DAJ Bracewell,IS Sodhi,TA Boult,LH Ferguson
DN,won,1,2,won,v India,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,MJ Santner,C de Grandhomme,TD Astle,MJ Henry,TA Boult
DN,lost,1,2,lost,v India,C Munro,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,TD Astle,MJ Henry,TA Boult
DN,won,1,2,lost,v Bangladesh,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,C de Grandhomme,JDS Neesham,MJ Santner,MJ Henry,LH Ferguson,TA Boult
D,won,1,2,won,v Bangladesh,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,C de Grandhomme,JDS Neesham,MJ Henry,TD Astle,LH Ferguson,TA Boult
D,won,1,1,lost,v Bangladesh,MJ Guptill,C Munro,HM Nicholls,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,TG Southee,LH Ferguson,TA Boult
D,won,0,2,won,v Sri Lanka,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
DN,won,0,2,won,v Bangladesh,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
DN,won,0,2,won,v Afghanistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
D,won,0,2,won,v South Africa,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
DN,won,0,1,lost,v West Indies,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
D,lost,0,1,won,v Pakistan,MJ Guptill,C Munro,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,MJ Henry,LH Ferguson,TA Boult
DN,lost,0,2,lost,v Australia,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,C de Grandhomme,JDS Neesham,MJ Santner,IS Sodhi,LH Ferguson,TA Boult
D,lost,0,2,lost,v England,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,TG Southee,MJ Henry,TA Boult
D,won,0,1,won,v India,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,JDS Neesham,C de Grandhomme,TWM Latham,MJ Santner,MJ Henry,TA Boult,LH Ferguson
DN,won,1,2,won,v India,MJ Guptill,HM Nicholls,TA Blundell,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,IS Sodhi,TG Southee,HK Bennett
DN,won,1,1,lost,v India,MJ Guptill,HM Nicholls,TA Blundell,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MS Chapman,TG Southee,KA Jamieson,HK Bennett
DN,won,1,2,won,v India,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,TG Southee,KA Jamieson,HK Bennett
DN,lost,0,2,lost,v Australia,MJ Guptill,HM Nicholls,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,C de Grandhomme,MJ Santner,IS Sodhi,LH Ferguson,TA Boult
