Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,JDS Neesham,JDS Neesham4,BJ Watling,BJ Watling5,C Munro,C Munro6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,MJ Henry,MJ Henry9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,JDS Neesham,JDS Neesham4,C Munro,C Munro5,C de Grandhomme,C de Grandhomme6,MJ Santner,MJ Santner7,BJ Watling,BJ Watling8,TG Southee,TG Southee9,MJ Henry,MJ Henry10,TA Boult,TA Boult11
lost,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,HM Nicholls,HM Nicholls4,C Munro,C Munro5,BJ Watling,BJ Watling6,C de Grandhomme,C de Grandhomme7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,NT Broom,NT Broom4,JDS Neesham,JDS Neesham5,C Munro,C Munro6,L Ronchi,L Ronchi7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,NT Broom,NT Broom4,JDS Neesham,JDS Neesham5,C Munro,C Munro6,L Ronchi,L Ronchi7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,NT Broom,NT Broom4,JDS Neesham,JDS Neesham5,C Munro,C Munro6,L Ronchi,L Ronchi7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,MJ Henry,MJ Henry10,JS Patel,JS Patel11
won,MJ Guptill,MJ Guptill1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,C Munro,C Munro6,JDS Neesham,JDS Neesham7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
won,DG Brownlie,DG Brownlie1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,C Munro,C Munro6,JDS Neesham,JDS Neesham7,MJ Santner,MJ Santner8,TG Southee,TG Southee9,LH Ferguson,LH Ferguson10,TA Boult,TA Boult11
lost,DG Brownlie,DG Brownlie1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,TG Southee,TG Southee9,IS Sodhi,IS Sodhi10,TA Boult,TA Boult11
won,DG Brownlie,DG Brownlie1,TWM Latham,TWM Latham2,KS Williamson,KS Williamson3,LRPL Taylor,LRPL Taylor4,NT Broom,NT Broom5,JDS Neesham,JDS Neesham6,MJ Santner,MJ Santner7,C de Grandhomme,C de Grandhomme8,IS Sodhi,IS Sodhi9,TG Southee,TG Southee10,TA Boult,TA Boult11
