p1,o1,s1,w1,p2,o2,s2,w2,p3,o3,s3,w3,p4,o4,s4,w4,p5,o5,s5,w5,p6,o6,s6,w6,p7,o7,s7,w7,,,
Mujeeb Ur Rahman,10,14,3,Dawlat Zadran,10,35,3,Gulbadin Naib,7.2,20,2,Mohammad Nabi,10,52,1,Rashid Khan,10,30,1,Rahmat Shah,2,10,0,-,,,,,,
Mujeeb Ur Rahman,10,55,1,Dawlat Zadran,10,52,2,Samiullah Shinwari,10,60,1,Mohammad Nabi,10,45,1,Rashid Khan,9,44,1,-,,,,-,,,,,,
Mujeeb Ur Rahman,8,25,2,Aftab Alam,8,25,4,Gulbadin Naib,6,21,1,Mohammad Nabi,7.3,18,1,Rashid Khan,6,22,2,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,26,1,Shapoor Zadran,8,46,0,Zahir Khan,10,55,2,Mohammad Nabi,9.2,47,1,Rashid Khan,10,41,1,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,35,0,Dawlat Zadran,7,35,3,Aftab Alam,7.5,28,3,Gulbadin Naib,10,45,1,Rashid Khan,10,41,2,Mohammad Nabi,4,21,0,-,,,,,,
Mujeeb Ur Rahman,5,27,0,Dawlat Zadran,7,35,1,Aftab Alam,7,27,1,Gulbadin Naib,9.2,43,6,Rashid Khan,9,31,0,Rahmat Shah,4,12,1,-,,,,,,
Mujeeb Ur Rahman,4.5,45,1,Dawlat Zadran,5,32,0,Hamid Hassan,6,15,0,Gulbadin Naib,5,32,1,Mohammad Nabi,6,32,0,Rashid Khan,8,52,1,-,,,,,,
Mujeeb Ur Rahman,3,19,0,Dawlat Zadran,6,34,2,Hamid Hassan,7,53,1,Gulbadin Naib,4,38,0,Mohammad Nabi,9,30,4,Rashid Khan,7.5,17,2,-,,,,,,
Aftab Alam,8.1,45,3,Rahmat Shah,5,21,0,Hamid Hassan,7,30,0,Gulbadin Naib,9,55,0,Mohammad Nabi,3,18,0,-,,,,-,,,,,,
Aftab Alam,5,16,0,Rashid Khan,7,45,0,Hamid Hassan,4,11,0,Gulbadin Naib,6,29,1,Mohammad Nabi,6.4,29,0,-,,,,-,,,,,,
Mujeeb Ur Rahman,10,44,0,Dawlat Zadran,10,85,3,Rahmat Shah,2,19,0,Gulbadin Naib,10,68,3,Mohammad Nabi,9,70,0,Rashid Khan,9,110,0,-,,,,,,
Mujeeb Ur Rahman,10,26,1,Aftab Alam,7,54,1,Rahmat Shah,5,22,1,Gulbadin Naib,9,51,2,Mohammad Nabi,9,33,2,Rashid Khan,5,22,1,-,,,,,,
Mujeeb Ur Rahman,10,39,3,Dawlat Zadran,9,64,1,Rahmat Shah,1,7,0,Gulbadin Naib,10,56,2,Mohammad Nabi,10,44,1,Rashid Khan,10,52,0,-,,,,,,
Mujeeb Ur Rahman,10,34,2,Hamid Hassan,2,13,0,Samiullah Shinwari,8,32,0,Gulbadin Naib,9.4,73,0,Mohammad Nabi,10,23,2,Rashid Khan,10,50,1,-,,,,,,
Mujeeb Ur Rahman,10,52,0,Dawlat Zadran,9,73,2,Sayed Shirzad,8,56,1,Gulbadin Naib,3,18,0,Mohammad Nabi,10,56,1,Rashid Khan,10,52,1,-,,,,,,
Mujeeb Ur Rahman,10,33,2,Naveen-ul-Haq,8,30,1,Javed Ahmadi,3.3,15,0,Gulbadin Naib,5,28,0,Mohammad Nabi,10,44,0,Rashid Khan,10,43,0,-,,,,,,
Mujeeb Ur Rahman,10,52,1,Naveen-ul-Haq,9,60,3,Javed Ahmadi,2,10,1,Sharafuddin Ashraf,9,37,1,Mohammad Nabi,10,37,1,Rashid Khan,10,45,1,-,,,,,,
Mujeeb Ur Rahman,10,49,2,Yamin Ahmadzai,8.4,49,0,Sharafuddin Ashraf,10,57,1,Mohammad Nabi,10,47,1,Rashid Khan,10,46,1,-,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
