Player,Fielders_score
TG Southee (NZ),34.960309200000005
BKG Mendis (SL),34.921273400000004
SV Carlisle (ZIM),34.86085347920792
CH Lloyd (WI),34.829659199999995
VVS Laxman (INDIA),34.809885799999996
D Williams (WI),34.3147392
HDRL Thirimanne (SL),34.0109948
GD McGrath (AUS/ICC),33.4776872
BKV Prasad (INDIA),33.22332047920792
Azhar Mahmood (PAK),33.1743636
DB Vengsarkar (INDIA),33.1358702
S Matsikenyeri (ZIM),33.109496279207924
CL White (AUS),33.06644180000001
AG Cremer (ZIM),33.065827479207925
RG Twose (NZ),33.05150967920792
Najibullah Zadran (AFG),32.993978600000005
Sabbir Rahman (BDESH),32.9742824
Imran Khan (PAK),32.3981862
HH Dippenaar (Afr/SA),32.386430279207914
GJ Whittall (ZIM),32.31411287920792
G Gambhir (INDIA),32.2938282
IT Botham (ENG),32.2573948
GB Hogg (AUS),32.2489804
AN Cook (ENG),32.196337
GH Dockrell (IRE),32.162020879207915
J Botha (Afr/SA),32.14336707920792
Babar Azam (PAK),32.1399796
Abdul Razzaq (Asia/PAK),31.726549999999996
Waqar Younis (PAK),31.7235494
L Klusener (SA),31.4956616
Mohammad Ashraful (Asia/BDESH),31.4734706
MG Johnson (AUS),31.464507199999996
MJ Greatbatch (NZ),31.36788687920792
RS Bopara (ENG),31.3619672
HDPK Dharmasena (SL),30.5193102
DM Bravo (WI),30.455610800000002
PL Taylor (AUS),30.4025454
Nasir Hossain (BDESH),30.3462858
Ramiz Raja (PAK),29.785135279207918
RR Singh (INDIA),29.6455528
N Boje (Afr/SA),29.59929907920792
CJ Chibhabha (ZIM),29.571770479207917
RS Kalpage (SL),29.52918447920792
JM Kemp (Afr/SA),29.52433587920792
NH Fairbrother (ENG),29.50631607920792
PA Patel (INDIA),29.4788498
KM Jadhav (INDIA),29.4656634
Soumya Sarkar (BDESH),29.460366200000003
DSBP Kuruppu (SL),29.199873879207917
J Srinath (INDIA),29.010995599999998
Abdur Razzak (BDESH),28.8190898
MM Ali (ENG),28.6996918
JJ Roy (ENG),28.673440399999997
SL Malinga (SL),28.085595599999994
M Morkel (Afr/SA),27.870853399999998
GR Marsh (AUS),27.861286479207916
AJ Lamb (ENG),27.857749199999997
DR Smith (WI),27.821830799999997
CK Kapugedera (SL),27.803189999999994
AU Rashid (ENG),27.8030738
TA Boult (NZ),27.7864464
RW Chakabva (ZIM),27.42779447920792
WK Lees (NZ),27.375348400000004
Mohammad Rizwan (PAK),27.3088002
M Ntini (ICC/SA),27.0930376
Mushtaq Ahmed (PAK),26.998258
J Garner (WI),26.9664336
R Ashwin (INDIA),26.965857
MA Holding (WI),26.9526864
PA Strang (ZIM),26.91910927920792
DL Houghton (ZIM),26.84257047920792
SMH Kirmani (INDIA),26.628340000000005
RG de Alwis (SL),26.438080000000006
SS Karim (INDIA),26.420992400000006
GJ Hopkins (NZ),26.353975079207924
WW Hinds (WI),26.093235479207916
AJ Hall (SA),26.021349479207917
GP Swann (ENG),26.001622599999997
TM Alderman (AUS),25.974090399999998
Alok Kapali (BDESH),25.97361407920792
DJ Hussey (AUS),25.9730246
Aftab Ahmed (BDESH),25.9679866
BA Young (NZ),25.604949800000004
RW Taylor (ENG),25.581573200000005
PR Downton (ENG),25.466833079207923
AA Donald (SA),25.349019600000002
LMP Simmons (WI),25.2571346
Mohammad Rafique (Asia/BDESH),25.22895867920792
DW Steyn (Afr/SA),25.227285
MA Starc (AUS),25.1895306
RJ Peterson (SA),25.1391948
Ahmed Shehzad (PAK),25.121829
JJ Crowe (NZ),25.10924847920792
MR Marsh (AUS),25.103314000000005
CA Walsh (WI),24.5730698
CRD Fernando (Asia/SL),24.4253442
CJ McDermott (AUS),24.401576
SCJ Broad (ENG),24.3702928
M Prabhakar (INDIA),24.366478479207924
Sir RJ Hadlee (NZ),24.339765999999997
B Kumar (INDIA),24.3157006
KLT Arthurton (WI),24.304825279207922
KJ Hughes (AUS),24.2839948
Wahab Riaz (PAK),24.2690014
AD Hales (ENG),24.2457742
EC Joyce (ENG/IRE),24.2317924
Mohammed Shami (INDIA),24.2312794
MJ Santner (NZ),24.222853
F Behardien (SA),24.191124079207917
GC Dyer (AUS),23.565175479207923
GP Wickramasinghe (SL),23.49338087920792
NW Bracken (AUS),23.477888
R Mutumbami (ZIM),23.464923479207926
JEC Franklin (NZ),23.4629732
MF Maharoof (SL),23.452689799999998
DS Lehmann (AUS),23.446005400000004
Habibul Bashar (BDESH),23.4317678
PAJ DeFreitas (ENG),23.41907327920792
LE Plunkett (ENG),23.397575
CB Wishart (ZIM),23.391464879207923
Imran Nazir (PAK),23.359651879207924
RA Smith (ENG),23.3503082
AG Prince (Afr/SA),23.298004479207925
D Gough (ENG/ICC),22.671315399999997
DC Thomas (WI),22.662354279207918
Saeed Ajmal (PAK),22.551353799999998
Imran Tahir (SA),22.542300599999997
PR Reiffel (AUS),22.517687079207917
MP Vaughan (ENG),22.5117686
JR Hopes (AUS),22.4883648
DJ Nash (NZ),22.487723
DT Johnston (IRE),22.451802279207918
DW Randall (ENG),22.411209879207917
Liton Das (BDESH),22.244321200000005
Aaqib Javed (PAK),21.802817879207918
Asghar Afghan (AFG),21.6516688
NM Hauritz (AUS),21.5517838
Wasim Raja (PAK),21.54334147920792
SW Poynter (IRE),21.29946867920793
PJ Moor (ZIM),21.118699479207926
LK Germon (NZ),20.872858079207926
GR Larsen (NZ),20.83188747920792
SL Campbell (WI),20.7748372
Junaid Siddique (BDESH),20.755655
M Amarnath (INDIA),20.747264879207915
AH Jones (NZ),20.745478399999996
DD Ebrahim (ZIM),20.735312879207918
PL Symcox (SA),20.731709279207916
GS Chappell (AUS),20.715048199999995
SV Manjrekar (INDIA),20.709567799999995
A Balbirnie (IRE),20.704005279207923
JDS Neesham (NZ),20.701363999999995
DN Patel (NZ),20.686177399999995
GRJ Matthews (AUS),20.68320967920792
S Lee (AUS),20.651631799999997
TJ Zoehrer (AUS),20.618214079207927
SM Gavaskar (INDIA),19.891294000000006
