Player,Fielders_score
N Boje (Afr/SA),14.658240000000001
GR Marsh (AUS),14.600840000000002
Mohammad Rafique (Asia/BDESH),14.50014
DL Bairstow (ENG),14.488900000000001
NL McCullum (NZ),14.450199999999999
DW Steyn (Afr/SA),14.4358
GP Thorpe (ENG),14.42174
CH Lloyd (WI),14.4128
VVS Laxman (INDIA),14.386800000000001
JV Coney (NZ),14.381340000000002
BKG Mendis (SL),14.339299999999998
N Hussain (ENG),14.3351
WW Hinds (WI),14.309639999999998
BA Young (NZ),14.270599999999998
SCJ Broad (ENG),14.2501
SAR Silva (SL),14.237400000000001
AG Cremer (ZIM),14.23584
R Ashwin (INDIA),14.1998
BM McMillan (SA),14.197140000000001
CL White (AUS),14.1806
MM Ali (ENG),14.0801
CJ Chibhabha (ZIM),14.04004
Ashraf Ali (PAK),14.016800000000002
AN Cook (ENG),13.9212
NS Sidhu (INDIA),13.871199999999998
AU Rashid (ENG),13.8084
LJ Tucker (IRE),13.779740000000002
CJ Nevin (NZ),13.77894
RG Twose (NZ),13.775840000000002
NW Bracken (AUS),13.7683
DS Lehmann (AUS),13.7631
MA Holding (WI),13.7532
DR Smith (WI),13.7382
BJ Watling (NZ),13.733699999999999
Sir RJ Hadlee (NZ),13.6952
MJ Greatbatch (NZ),13.69444
J Garner (WI),13.6397
CJ Richards (ENG),13.638200000000001
B Kumar (INDIA),13.5672
WP Saha (INDIA),13.5523
CK Kapugedera (SL),13.4963
GH Dockrell (IRE),13.457740000000001
JEC Franklin (NZ),13.357
Habibul Bashar (BDESH),13.279399999999999
GR Larsen (NZ),13.25224
MF Maharoof (SL),13.202300000000001
J Charles (WI),13.201
JJ Roy (ENG),13.1886
RS Kalpage (SL),13.186440000000001
J Botha (Afr/SA),13.15674
KLT Arthurton (WI),13.08684
JM Kemp (Afr/SA),13.066040000000001
PL Taylor (AUS),13.009899999999998
PA Strang (ZIM),13.00774
Mudassar Nazar (PAK),12.99264
IJ Gould (ENG),12.970640000000001
Saeed Ajmal (PAK),12.9681
APE Knott (ENG),12.950800000000001
MSK Prasad (INDIA),12.932939999999999
TA Boult (NZ),12.9267
Umar Gul (PAK),12.9194
DA Murray (WI),12.84534
PAJ DeFreitas (ENG),12.834340000000001
MD Marshall (WI),12.8281
MA Starc (AUS),12.8217
Babar Azam (PAK),12.7622
IK Pathan (INDIA),12.754999999999999
Imran Tahir (SA),12.7143
Asghar Afghan (AFG),12.667200000000001
Najibullah Zadran (AFG),12.654300000000001
A Nehra (Asia/INDIA),12.617899999999999
SM Gavaskar (INDIA),12.6127
Liton Das (BDESH),12.598500000000001
KJ Hughes (AUS),12.598299999999998
NH Fairbrother (ENG),12.54044
Sabbir Rahman (BDESH),12.4978
AJ Hall (SA),12.40484
EJ Chatfield (NZ),12.19744
Aftab Ahmed (BDESH),12.1948
M Dillon (WI),12.1767
EB McSweeney (NZ),12.173340000000001
KM Jadhav (INDIA),12.171800000000001
Wahab Riaz (PAK),12.1416
CB Wishart (ZIM),12.06794
GP Swann (ENG),12.0522
PR Reiffel (AUS),12.01764
LE Plunkett (ENG),11.965900000000001
LMP Simmons (WI),11.9606
Abdul Qadir (PAK),11.920639999999999
Nasir Hossain (BDESH),11.8509
RJ Peterson (SA),11.8459
MP Vaughan (ENG),11.8359
SL Campbell (WI),11.8333
Ahmed Shehzad (PAK),11.786999999999999
Rubel Hossain (BDESH),11.6294
JS Foster (ENG),11.6078
H Klaasen (SA),11.5791
MW Gatting (ENG),11.51634
Imran Nazir (PAK),11.50994
Soumya Sarkar (BDESH),11.4762
BN French (ENG),11.470400000000001
DJ Nash (NZ),11.468900000000001
V Yadav (INDIA),11.442400000000001
JJ Crowe (NZ),11.44074
JR Hopes (AUS),11.433900000000001
Anil Dalpat (PAK),11.409640000000001
Mohammed Shami (INDIA),11.3647
AH Jones (NZ),11.3629
KJ Wadsworth (NZ),11.360240000000001
DR Tuffey (NZ),11.34474
EC Joyce (ENG/IRE),11.32
Alok Kapali (BDESH),11.29964
DJ Hussey (AUS),11.2941
TM Alderman (AUS),11.293800000000001
DK Morrison (NZ),11.293299999999999
RW Price (ZIM),11.24324
M Amarnath (INDIA),11.22164
SP O'Donnell (AUS),11.215340000000001
KAJ Roach (WI),11.1173
MR Marsh (AUS),11.101099999999999
MJ Santner (NZ),11.0879
AD Hales (ENG),11.0703
DD Ebrahim (ZIM),11.068840000000002
JE Taylor (WI),10.962900000000001
PL Symcox (SA),10.95384
RA Smith (ENG),10.944199999999999
MC Snedden (NZ),10.79664
Samiullah Shinwari (AFG),10.7662
TT Bresnan (ENG),10.680299999999999
A Balbirnie (IRE),10.59264
AC Hudson (SA),10.587340000000001
Aamer Malik (PAK),10.585240000000002
JP Maher (AUS),10.5764
VG Kambli (INDIA),10.5653
TM Moody (AUS),10.5526
SV Manjrekar (INDIA),10.550699999999999
Mohammad Sami (PAK),10.549199999999999
MN Waller (ZIM),10.5455
A Nel (SA),10.5414
GS Chappell (AUS),10.4902
UT Yadav (INDIA),10.4896
DN Patel (NZ),10.4688
K Rabada (SA),10.4565
SE Marsh (AUS),10.4168
DT Johnston (IRE),10.38684
Imrul Kayes (BDESH),10.380099999999999
RAS Lakmal (SL),10.3301
F Behardien (SA),10.30144
A Ratra (INDIA),10.24704
DNT Zoysa (SL),10.1884
GD Elliott (NZ),10.1801
Salman Butt (PAK),10.1654
Rashid Khan (AFG),10.1146
RV Uthappa (INDIA),10.1085
OA Shah (ENG),10.0994
I Sharma (INDIA),10.085
BL Cairns (NZ),10.079640000000001
AG Prince (Afr/SA),10.07594
Junaid Siddique (BDESH),10.0386
GF Lawson (AUS),10.029340000000001
BAW Mendis (SL),10.0204
JDS Neesham (NZ),9.9895
RGD Willis (ENG),9.98
AF Giles (ENG),9.978900000000001
LPC Silva (SL),9.9718
R Rampaul (WI),9.9679
GM Wood (AUS),9.9281
GRJ Matthews (AUS),9.87564
GB Brent (ZIM),9.873899999999999
WKM Benjamin (WI),9.863140000000001
MW Goodwin (ZIM),9.8371
JP Faulkner (AUS),9.8247
ND McKenzie (SA),9.81364
PS de Villiers (SA),9.7569
AR Whittall (ZIM),9.75344
JN Gillespie (AUS),9.7343
NM Hauritz (AUS),9.7229
WB Rankin (ENG/IRE),9.7181
DW Fleming (AUS),9.71314
Dawlat Zadran (AFG),9.7116
Rahmat Shah (AFG),9.679839999999999
SE Bond (NZ),9.6386
Khaled Mahmud (BDESH),9.5556
SB Joshi (INDIA),9.53784
AR White (IRE),9.4664
Wasim Raja (PAK),9.43894
Asif Mujtaba (PAK),9.43814
AJ Bichel (AUS),9.4267
HA Gomes (WI),9.417539999999999
DW Randall (ENG),9.41284
MN van Wyk (SA),9.38794
HJH Marshall (NZ),9.37794
Naved-ul-Hasan (PAK),9.3674
SO Hetmyer (WI),9.3604
IJ Harvey (AUS),9.3502
C Munro (NZ),9.3458
Shafiqullah (AFG),9.32
D Mongia (INDIA),9.3063
Dhiman Ghosh (BDESH),9.29704
JR Ratnayeke (SL),9.280940000000001
CD Collymore (WI),9.251339999999999
LRD Mendis (SL),9.2238
IR Bishop (WI),9.216000000000001
AC Cummins (CAN/WI),9.205200000000001
JF Mooney (IRE),9.17664
JE Emburey (ENG),9.1755
HH Pandya (INDIA),9.171700000000001
RS Morton (WI),9.11194
S Madan Lal (INDIA),9.0894
GP Howarth (NZ),9.08594
PJ Cummins (AUS),9.075800000000001
RS Madugalle (SL),9.06614
PB Dassanayake (SL),9.05624
Manzoor Elahi (PAK),9.04184
MS Sinclair (NZ),9.0327
SKL de Silva (SL),9.0224
XJ Doherty (AUS),9.0197
Naeem Islam (BDESH),8.99604
Anamul Haque (BDESH),8.990699999999999
ST Finn (ENG),8.9657
SC Williams (WI),8.92334
Shahriar Nafees (BDESH),8.9006
CB Mpofu (ZIM),8.90004
JJ Bumrah (INDIA),8.8996
DJ Willey (ENG),8.8747
CC Lewis (ENG),8.8646
KL Rahul (INDIA),8.855899999999998
S Lee (AUS),8.8248
Mohsin Khan (PAK),8.7896
SJ Rhodes (ENG),8.772599999999999
SA Thomson (NZ),8.7597
Maninder Singh (INDIA),8.7535
JG Bracewell (NZ),8.74984
YK Pathan (INDIA),8.724499999999999
F Mutizwa (ZIM),8.68284
HMRKB Herath (SL),8.6016
IJL Trott (ENG),8.5887
Zaheer Abbas (PAK),8.58194
AR Cusack (IRE),8.57914
DP Viljoen (ZIM),8.5737
RD McCann (IRE),8.5735
Sohail Tanvir (PAK),8.5295
SMSM Senanayake (SL),8.5284
Raqibul Hasan (BDESH),8.5177
SP Narine (WI),8.5144
P Mustard (ENG),8.505099999999999
SJ Rixon (AUS),8.50344
Fakhar Zaman (PAK),8.4891
RMH Binny (INDIA),8.4773
AR McBrine (IRE),8.44884
NC Johnson (ZIM),8.4253
RR Rossouw (SA),8.42454
JM How (NZ),8.424
RL Dias (SL),8.41834
Nawroz Mangal (AFG),8.39944
Akram Raza (PAK),8.39404
NO Miller (WI),8.3523
SJ Palframan (SA),8.34784
PSP Handscomb (AUS),8.3343
PG Fulton (NZ),8.3232
AF Milne (NZ),8.30864
RJ Ratnayake (SL),8.29804
LJ Wright (ENG),8.2921
MM Patel (INDIA),8.2724
TJ Murtagh (IRE),8.247399999999999
DM de Silva (SL),8.236899999999999
TJ Friend (ZIM),8.2274
JA Morkel (Afr/SA),8.2273
AT Rayudu (INDIA),8.2172
MJ Henry (NZ),8.1989
Shoaib Mohammad (PAK),8.177200000000001
HM Nicholls (NZ),8.15774
MA Vermeulen (ZIM),8.1577
CK Langeveldt (SA),8.1465
E Lewis (WI),8.122499999999999
TT Samaraweera (SL),8.117
P Kumar (INDIA),8.101099999999999
DA Gunawardene (SL),8.08684
Mohammad Salman (PAK),8.085339999999999
AR Nurse (WI),8.07244
WD Parnell (SA),8.0624
MA Atherton (ENG),8.0586
Mohammad Irfan (PAK),8.0379
BA Edgar (NZ),8.03654
Asad Shafiq (PAK),7.999599999999999
Junaid Khan (PAK),7.9953
Yasir Hameed (PAK),7.98354
JR Hazlewood (AUS),7.9769000000000005
VS Solanki (ENG),7.9615
SW Billings (ENG),7.9384
Imran Farhat (PAK),7.91254
DT Hondo (ZIM),7.9108
Gulbadin Naib (AFG),7.9063
ALF de Mel (SL),7.84604
DBL Powell (WI),7.820399999999999
Tauseef Ahmed (PAK),7.8155399999999995
CPH Ramanayake (SL),7.80564
YS Chahal (INDIA),7.7651
Iftikhar Anjum (PAK),7.75534
BMAJ Mendis (SL),7.734500000000001
Javed Omar (BDESH),7.734299999999999
AL Phehlukwayo (SA),7.7244
RP Singh (INDIA),7.7201
Basit Ali (PAK),7.71124
DK Lillee (AUS),7.7097999999999995
Noor Ali Zadran (AFG),7.70584
SS Cottrell (WI),7.7008
CK Coventry (ZIM),7.69824
Mustafizur Rahman (BDESH),7.6806
JD Ryder (NZ),7.6758
CM Spearman (NZ),7.665
BC Strang (ZIM),7.661840000000001
T Panyangara (ZIM),7.64484
SM Davies (ENG),7.5944
KJ Wright (AUS),7.545100000000001
DN Crookes (SA),7.53594
RM Hogg (AUS),7.53434
SG Law (AUS),7.5141
Haris Sohail (PAK),7.4999
R McLaren (SA),7.4794
CJ Jordan (ENG),7.4754000000000005
EA Brandes (ZIM),7.44444
HK Olonga (ZIM),7.44084
CAK Walton (WI),7.397639999999999
KOA Powell (WI),7.389099999999999
MA Wood (ENG),7.3883
CN Evans (ZIM),7.37434
LL Tsotsobe (SA),7.374
CR Matthews (SA),7.3447000000000005
AM Blignaut (ZIM),7.334840000000001
GJ Rennie (ZIM),7.33474
SJ Harmison (ENG),7.3339
DS Smith (WI),7.3279
AD Russell (WI),7.325
MA Ealham (ENG),7.323499999999999
A Zampa (AUS),7.3174
Hasan Ali (PAK),7.3082
Nasir Jamshed (PAK),7.283899999999999
Arshad Khan (PAK),7.267099999999999
TL Chatara (ZIM),7.26394
NA Foster (ENG),7.2539
Imad Wasim (PAK),7.2535
CJ McKay (AUS),7.243899999999999
Mohammad Amir (PAK),7.2429999999999986
JC Tredwell (ENG),7.234
W Watson (NZ),7.22344
MJ Horne (NZ),7.19374
N Chopra (INDIA),7.1777999999999995
EAE Baptiste (WI),7.17394
TL Seifert (NZ),7.141039999999999
DA Marillier (ZIM),7.13354
C de Grandhomme (NZ),7.133099999999999
KM Jarvis (ZIM),7.1232
C White (ENG),7.1129
BA Reid (AUS),7.107899999999999
Shafiul Islam (BDESH),7.0915
MS Kasprowicz (AUS),7.078900000000001
AR Caddick (ENG),7.0731
C Pringle (NZ),7.06264
