Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,DJ Willey,DJ Willey8,AU Rashid,AU Rashid9,CR Woakes,CR Woakes10,LE Plunkett,LE Plunkett11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,BA Stokes,BA Stokes4,MM Ali,MM Ali5,EJG Morgan,EJG Morgan6,JL Denly,JL Denly7,TK Curran,TK Curran8,CR Woakes,CR Woakes9,DJ Willey,DJ Willey10,LE Plunkett,LE Plunkett11
won,JJ Roy,JJ Roy1,JM Vince,JM Vince2,JE Root,JE Root3,BA Stokes,BA Stokes4,JC Buttler,JC Buttler5,MM Ali,MM Ali6,JL Denly,JL Denly7,TK Curran,TK Curran8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,DJ Willey,DJ Willey9,TK Curran,TK Curran10,AU Rashid,AU Rashid11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,LE Plunkett,LE Plunkett9,JC Archer,JC Archer10,AU Rashid,AU Rashid11
lost,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JJ Roy,JJ Roy1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,JC Buttler,JC Buttler4,EJG Morgan,EJG Morgan5,BA Stokes,BA Stokes6,CR Woakes,CR Woakes7,LE Plunkett,LE Plunkett8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Bairstow,JM Bairstow1,JE Root,JE Root2,CR Woakes,CR Woakes3,BA Stokes,BA Stokes4,JJ Roy,JJ Roy5,EJG Morgan,EJG Morgan6,JC Buttler,JC Buttler7,LE Plunkett,LE Plunkett8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
won,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,JC Buttler,JC Buttler5,BA Stokes,BA Stokes6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,JC Archer,JC Archer9,AU Rashid,AU Rashid10,MA Wood,MA Wood11
lost,JM Vince,JM Vince1,JM Bairstow,JM Bairstow2,JE Root,JE Root3,EJG Morgan,EJG Morgan4,BA Stokes,BA Stokes5,JC Buttler,JC Buttler6,MM Ali,MM Ali7,CR Woakes,CR Woakes8,AU Rashid,AU Rashid9,JC Archer,JC Archer10,MA Wood,MA Wood11
